I am using the following nodes: sn[085,113]
My job ID is: 415231
/gpfs/home/borwang
NUM CPUs 28
/gpfs/home/borwang
NUM CPUs 28
ID       Population  PopulationVariation  Compactness
2775     755337       63407               0.6458333333333333
2585     702803       10873               0.6282722513089005
1445     693105       1175                0.7142857142857143
1443     667973       23957               0.6692307692307693
ID       Population  PopulationVariation  Compactness
744      692515       585                 0.8472906403940886
284      682803       9127                0.5359477124183006
2160     683229       8701                0.6936170212765957
1040     699826       7896                0.7405857740585774
1447     683045       8885                0.6853932584269663
2001     701771       9841                0.6774193548387097
2634     688552       3378                0.6857142857142857
1645     692822       892                 0.7183908045977012
616      683516       8414                0.7463414634146341
1693     688470       3460                0.839572192513369
1692     696758       4828                0.7547169811320755
899      699191       7261                0.6423357664233577
335      700048       8118                0.8973384030418251
307      694481       2551                0.5989583333333333
ID       Population  PopulationVariation  Compactness
1470     700408       8478                0.8655913978494624
3012     688818       3112                0.8640350877192983
2300     684432       7498                0.7129186602870814
552      684545       7385                0.852589641434263
2604     690955       975                 0.645631067961165
1492     696649       4719                0.6573426573426573
1138     683779       8151                0.625   
97       700054       8124                0.6310160427807487
1899     694048       2118                0.6919831223628692
1895     689420       2510                0.6598639455782314
1040     694831       2901                0.6894977168949772
655      694230       2300                0.6931216931216931
516      684110       7820                0.711864406779661
515      700748       8818                0.5987261146496815
ID       Population  PopulationVariation  Compactness
2351     682741       9189                0.6470588235294117
954      685562       6368                0.8253275109170306
3040     699874       7944                0.6603773584905661
1996     697941       6011                0.554140127388535
1156     690754       1176                0.8909952606635071
1464     688957       2973                0.6075949367088608
31       696484       4554                0.8142076502732241
32       689590       2340                0.6608187134502924
17       694500       2570                0.6666666666666667
72       687051       4879                0.6735751295336787
45       692535       605                 0.8315789473684211
50       700879       8949                0.6739130434782609
301      694149       2219                0.7214611872146119
1112     686010       5920                0.6336633663366337
ID       Population  PopulationVariation  Compactness
1146     684753       7177                0.7922535211267605
1654     686179       5751                0.6689655172413793
1862     701191       9261                0.7345971563981042
612      692735       805                 0.5964912280701755
2775     694281       2351                0.6923076923076923
1680     688569       3361                0.7212389380530974
1736     684522       7408                0.8429319371727748
95       694278       2348                0.6844262295081966
98       692314       384                 0.6176470588235294
281      697570       5640                0.6666666666666667
1156     685626       6304                0.736842105263158
738      701817       9887                0.9017857142857143
630      685921       6009                0.6381909547738693
353      697271       5341                0.6363636363636364
ID       Population  PopulationVariation  Compactness
493      699612       7682                0.7478632478632479
2031     701081       9151                0.5797872340425532
2291     692330       400                 0.688   
1762     698908       6978                0.7391304347826086
1641     696354       4424                0.651685393258427
1680     686478       5452                0.8248587570621468
2971     693332       1402                0.8110236220472441
1505     681687       10243               0.6235955056179776
2006     690114       1816                0.6494845360824743
2557     681776       10154               0.6283783783783784
281      688571       3359                0.6599999999999999
340      693106       1176                0.6196319018404908
1357     689636       2294                0.7268907563025211
832      694042       2112                0.8558951965065502
ID       Population  PopulationVariation  Compactness
2045     686752       5178                0.6368159203980099
840      682155       9775                0.8577777777777778
2720     684702       7228                0.6401869158878505
565      697963       6033                0.7512437810945274
2676     693773       1843                0.711340206185567
2572     690874       1056                0.5266666666666666
1575     686610       5320                0.8181818181818181
2177     694009       2079                0.7654867256637168
1506     692932       1002                0.5988023952095809
2881     694692       2762                0.6228070175438596
749      701734       9804                0.789272030651341
747      692652       722                 0.8577405857740585
2895     690768       1162                0.6402439024390244
2932     697411       5481                0.42741935483870963
ID       Population  PopulationVariation  Compactness
856      673695       18235               0.8653061224489795
1873     697395       5465                0.731958762886598
1191     692042       112                 0.8398268398268398
266      682758       9172                0.7794117647058824
1966     691669       261                 0.6818181818181819
1969     701675       9745                0.8     
38       698914       6984                0.6167664670658682
497      685320       6610                0.6178010471204188
1828     701046       9116                0.5911602209944751
1827     685518       6412                0.7131782945736433
2184     690629       1301                0.7338709677419355
3024     697779       5849                0.6267942583732058
1113     698868       6938                0.5545023696682465
1107     689719       2211                0.6196319018404908
ID       Population  PopulationVariation  Compactness
2963     687837       4093                0.6666666666666667
286      684317       7613                0.7361111111111112
2092     695349       3419                0.6597938144329897
2720     698767       6837                0.689119170984456
651      683999       7931                0.7329545454545454
2734     683053       8877                0.6762589928057554
1055     693960       2030                0.65    
748      698737       6807                0.7815126050420168
948      699395       7465                0.8607142857142858
947      688600       3330                0.8663793103448276
2613     688781       3149                0.6349206349206349
2612     690388       1542                0.6902173913043479
1726     702148       10218               0.7642276422764227
1736     691696       234                 0.8601036269430051
ID       Population  PopulationVariation  Compactness
2759     690971       959                 0.6982248520710059
1710     692848       918                 0.8148148148148149
327      699862       7932                0.7913043478260869
1639     685726       6204                0.6335403726708074
2970     699160       7230                0.6     
1205     681535       10395               0.8413461538461539
2486     690390       1540                0.6243654822335025
2692     682422       9508                0.6358381502890174
1013     686766       5164                0.8007968127490039
1011     696226       4296                0.7916666666666666
1916     697949       6019                0.6580086580086579
2251     695111       3181                0.7909090909090909
26       693069       1139                0.5631067961165048
2905     694992       3062                0.7209302325581395
ID       Population  PopulationVariation  Compactness
1976     684919       7011                0.7330508474576272
137      695072       3142                0.7295918367346939
1828     688116       3814                0.6194690265486726
1282     687491       4439                0.691304347826087
1632     688775       3155                0.5963855421686747
1769     696883       4953                0.7522522522522522
1980     699812       7882                0.8736842105263158
2785     696864       4934                0.5797872340425532
2570     688335       3595                0.6375838926174497
356      697128       5198                0.6614583333333333
686      694320       2390                0.7004405286343612
628      681812       10118               0.6914893617021276
1181     694220       2290                0.8419117647058824
996      693280       1350                0.8654708520179373
ID       Population  PopulationVariation  Compactness
2511     687936       3994                0.7032967032967032
2175     701352       9422                0.6956521739130435
943      690345       1585                0.7603686635944701
436      685248       6682                0.7665198237885462
1707     701512       9582                0.8465608465608465
285      695423       3493                0.7875  
2855     687206       4724                0.6686746987951807
1969     696041       4111                0.6706586826347305
2715     683830       8100                0.6950000000000001
2716     695247       3317                0.6293706293706294
1709     694244       2314                0.7634408602150538
1634     685885       6045                0.5944444444444444
1040     693396       1466                0.8231046931407943
280      689362       2568                0.6595744680851063
ID       Population  PopulationVariation  Compactness
2516     689808       2122                0.6826347305389222
1625     698363       6433                0.7248677248677249
27       681643       10287               0.8208955223880597
2893     701585       9655                0.7789473684210526
929      689719       2211                0.72    
1884     696654       4724                0.7407407407407407
633      684193       7737                0.7371428571428571
2776     692342       412                 0.6094674556213018
1806     691430       500                 0.6371681415929203
2308     702132       10202               0.7464114832535885
1488     692480       550                 0.5856353591160222
1484     693824       1894                0.6147540983606558
909      686224       5706                0.78515625
811      686630       5300                0.875   
ID       Population  PopulationVariation  Compactness
121      699297       7367                0.7100591715976332
1180     685631       6299                0.8206896551724138
1118     689465       2465                0.7336448598130841
290      687407       4523                0.7202072538860104
1144     699426       7496                0.854251012145749
755      689049       2881                0.8252427184466019
2817     693233       1303                0.6368715083798883
696      686922       5008                0.7751196172248804
198      690142       1788                0.64    
1574     685197       6733                0.8645833333333334
1823     685497       6433                0.675392670157068
1428     700355       8425                0.7964071856287425
2779     700060       8130                0.7212389380530974
2605     695346       3416                0.7313432835820896
ID       Population  PopulationVariation  Compactness
744      685656       6274                0.8085106382978724
2969     698655       6725                0.6223404255319149
2970     693236       1306                0.563758389261745
1880     684808       7122                0.627906976744186
2571     690618       1312                0.5647058823529412
2650     700864       8934                0.6596638655462185
1008     683059       8871                0.6887966804979253
1850     695580       3650                0.6945606694560669
1847     696320       4390                0.6097560975609756
1731     698731       6801                0.8638743455497382
1693     683486       8444                0.6931818181818181
191      682210       9720                0.8642533936651584
2893     696379       4449                0.8314606741573034
2891     697425       5495                0.5319148936170213
ID       Population  PopulationVariation  Compactness
2585     698700       6770                0.6627906976744187
2546     682046       9884                0.622093023255814
456      692968       1038                0.7991071428571428
517      693363       1433                0.704225352112676
978      699584       7654                0.8007662835249042
1042     689944       1986                0.6494845360824743
2630     688554       3376                0.6243093922651934
1574     696222       4292                0.8636363636363636
2821     696028       4098                0.5982142857142857
831      690870       1060                0.8057851239669421
846      681943       9987                0.8355555555555556
1850     690308       1622                0.6701570680628273
1995     701677       9747                0.6694915254237288
1994     684820       7110                0.6735751295336787
ID       Population  PopulationVariation  Compactness
703      696374       4444                0.6989247311827957
549      681985       9945                0.676300578034682
2963     685008       6922                0.8144796380090498
2952     700281       8351                0.6602564102564102
2595     688927       3003                0.7074235807860262
2821     699126       7196                0.6457142857142857
1960     692162       232                 0.8369565217391304
1958     692088       158                 0.7212121212121212
1940     682439       9491                0.5454545454545454
903      701831       9901                0.8805309734513275
935      684753       7177                0.7170542635658914
919      692954       1024                0.8582677165354331
2651     696903       4973                0.641255605381166
2487     692196       266                 0.7393617021276595
ID       Population  PopulationVariation  Compactness
2812     683697       8233                0.6783625730994152
2398     693365       1435                0.6285714285714286
198      687158       4772                0.689119170984456
3010     695255       3325                0.8740458015267176
3011     699914       7984                0.681081081081081
1072     697800       5870                0.5806451612903225
159      701759       9829                0.6395939086294415
1709     696807       4877                0.7541899441340782
2866     690184       1746                0.7832699619771863
2855     684122       7808                0.7425149700598803
2276     695261       3331                0.6036866359447004
2305     688831       3099                0.7211538461538461
1174     689689       2241                0.8162393162393162
989      683185       8745                0.7421052631578947
ID       Population  PopulationVariation  Compactness
1149     684662       7268                0.9022222222222223
1821     692911       981                 0.6826347305389222
1807     686161       5769                0.6590909090909092
2121     698044       6114                0.7142857142857143
2569     687313       4617                0.5     
1126     698695       6765                0.6927083333333333
933      694580       2650                0.8638132295719845
1168     685452       6478                0.7549407114624506
1680     691178       752                 0.6995073891625616
1645     700006       8076                0.7861271676300579
2028     692736       806                 0.6338028169014085
2029     682484       9446                0.7114427860696517
282      690872       1058                0.6681818181818182
281      701933       10003               0.5481927710843373
ID       Population  PopulationVariation  Compactness
943      695865       3935                0.8171206225680934
950      682995       8935                0.8264462809917356
2993     699242       7312                0.735632183908046
2741     684922       7008                0.6538461538461539
1501     693904       1974                0.7065868263473054
2847     682657       9273                0.5579710144927537
2483     702140       10210               0.6238095238095238
2331     693643       1713                0.6944444444444444
2679     696836       4906                0.6536585365853659
1000     688038       3892                0.6666666666666667
921      692256       326                 0.7489361702127659
917      695261       3331                0.7440758293838863
16       691280       650                 0.6408163265306123
651      687988       3942                0.6369047619047619
ID       Population  PopulationVariation  Compactness
747      697528       5598                0.8313725490196078
2381     699070       7140                0.7008547008547008
2278     693410       1480                0.5189873417721519
1154     694424       2494                0.69    
145      697313       5383                0.5914634146341464
722      695912       3982                0.6414141414141414
83       682735       9195                0.625   
1859     686311       5619                0.6303030303030304
820      690097       1833                0.8181818181818181
1379     695354       3424                0.8944954128440367
2956     682238       9692                0.6428571428571428
2978     694148       2218                0.7266666666666667
1698     695610       3680                0.7428571428571429
1702     682877       9053                0.8743455497382199
ID       Population  PopulationVariation  Compactness
711      681713       10217               0.6533333333333333
841      686578       5352                0.8283261802575107
760      685935       5995                0.7762557077625571
2969     701633       9703                0.564935064935065
337      692545       615                 0.6890243902439024
2730     701314       9384                0.6594202898550725
2761     684105       7825                0.6666666666666667
494      688838       3092                0.7710280373831776
2131     693544       1614                0.751131221719457
2183     701542       9612                0.7396449704142012
2078     690600       1330                0.7565217391304347
2079     692205       275                 0.6127450980392157
2870     701134       9204                0.7943548387096774
3005     685341       6589                0.64375 
ID       Population  PopulationVariation  Compactness
95       700432       8502                0.6467391304347826
917      692214       284                 0.9027237354085603
306      691661       269                 0.7911111111111111
1704     683780       8150                0.5621301775147929
2754     696077       4147                0.6376811594202898
1480     684904       7026                0.8864864864864865
2957     700350       8420                0.6688741721854304
2215     698149       6219                0.6844444444444444
2206     699755       7825                0.6199095022624435
1188     687388       4542                0.8801652892561983
1102     683827       8103                0.7183673469387755
1130     689263       2667                0.5764705882352941
608      688281       3649                0.6699507389162562
515      690946       984                 0.711864406779661
ID       Population  PopulationVariation  Compactness
2705     689168       2762                0.6386138613861386
2672     690405       1525                0.7335907335907336
2675     698609       6679                0.7134502923976609
2410     686036       5894                0.8361581920903955
2409     695610       3680                0.7456647398843931
1768     698611       6681                0.7704081632653061
1826     697330       5400                0.6370967741935484
656      689784       2146                0.7228260869565217
752      697983       6053                0.7578125
613      682769       9161                0.6540880503144655
1074     692647       717                 0.7452830188679245
265      683035       8895                0.6476683937823835
915      687498       4432                0.8110236220472441
899      697542       5612                0.8879310344827587
ID       Population  PopulationVariation  Compactness
2483     716621       24691               0.7142857142857143
2733     707325       15395               0.6622516556291391
1067     685263       6667                0.6724137931034483
2410     682566       9364                0.7653631284916201
122      695499       3569                0.7255813953488373
249      676090       15840               0.8241758241758241
255      682165       9765                0.5863874345549738
2727     698262       6332                0.6101694915254237
2322     676189       15741               0.6124401913875598
905      683198       8732                0.8482142857142857
824      684099       7831                0.7302325581395348
2386     696780       4850                0.625   
3040     701074       9144                0.6556603773584906
1799     701896       9966                0.6896551724137931
ID       Population  PopulationVariation  Compactness
971      693269       1339                0.7791164658634538
1031     682573       9357                0.8728813559322034
664      699004       7074                0.7444444444444445
1201     693124       1194                0.8619246861924686
2238     687020       4910                0.6933962264150944
2231     692409       479                 0.7128205128205128
1639     683479       8451                0.7050691244239631
1838     696920       4990                0.7609756097560976
2881     696537       4607                0.7314814814814814
2883     683485       8445                0.6554054054054055
2313     697687       5757                0.7112299465240641
2324     698053       6123                0.5988700564971752
2978     683310       8620                0.6329787234042553
2957     700157       8227                0.6923076923076923
ID       Population  PopulationVariation  Compactness
1908     688019       3911                0.6956521739130435
1164     687710       4220                0.8218623481781376
2705     696214       4284                0.7197452229299364
2786     701718       9788                0.6363636363636364
490      686008       5922                0.7783018867924528
491      692825       895                 0.7016574585635359
1194     688791       3139                0.8604651162790697
249      683039       8891                0.7211538461538461
1042     690798       1132                0.726457399103139
1099     694797       2867                0.65    
1663     700990       9060                0.8248587570621468
1662     691451       479                 0.7005649717514124
2379     689200       2730                0.7112970711297071
2059     695467       3537                0.6595744680851063
ID       Population  PopulationVariation  Compactness
1982     702027       10097               0.6230366492146597
1028     706590       14660               0.7685589519650655
625      698107       6177                0.6875  
686      405079       286851              0.5094339622641509
2550     820375       128445              0.6368421052631579
2983     697553       5623                0.7304347826086957
2980     684934       6996                0.559748427672956
2372     768988       77058               0.6640926640926641
1574     688766       3164                0.8156424581005587
2821     671844       20086               0.6712328767123288
771      700926       8996                0.5864661654135339
840      691342       588                 0.8247863247863247
1923     725110       33180               0.6515837104072398
1934     725386       33456               0.674757281553398
ID       Population  PopulationVariation  Compactness
739      687650       4280                0.8783783783783784
1040     692581       651                 0.8470588235294118
811      701419       9489                0.657258064516129
2301     698133       6203                0.7135135135135136
607      693658       1728                0.6649746192893401
2603     689417       2513                0.5515151515151515
1430     681622       10308               0.7345679012345678
667      686268       5662                0.8854961832061069
664      686030       5900                0.6234567901234568
2022     699841       7911                0.5789473684210527
2631     696612       4682                0.736842105263158
2634     686820       5110                0.7540106951871658
1482     695992       4062                0.7085714285714286
1486     690984       946                 0.7111111111111111
ID       Population  PopulationVariation  Compactness
2077     694408       2478                0.5333333333333333
1473     690724       1206                0.5782312925170068
2578     699693       7763                0.5751633986928104
2300     687594       4336                0.5864197530864197
1455     683540       8390                0.7333333333333334
36       685301       6629                0.8857142857142857
3024     699862       7932                0.6353591160220995
687      697207       5277                0.6368715083798883
336      686327       5603                0.6705202312138728
749      697526       5596                0.6816143497757847
1953     695995       4065                0.706140350877193
123      684768       7162                0.6976744186046512
916      691387       543                 0.8765432098765432
745      692695       765                 0.8944954128440367
ID       Population  PopulationVariation  Compactness
702      698420       6490                0.5104895104895104
91       684957       6973                0.5299145299145299
48       699613       7683                0.7777777777777778
2170     695343       3413                0.7112970711297071
2171     687630       4300                0.5697674418604651
738      694927       2997                0.7975206611570248
2853     699867       7937                0.7043010752688172
301      683833       8097                0.7911111111111111
888      684995       6935                0.740909090909091
2331     690205       1725                0.7735849056603774
2330     691900       30                  0.6075268817204301
582      690872       1058                0.8288973384030418
679      698154       6224                0.6536585365853659
611      686311       5619                0.7305699481865284
Now the pool is closed and no longer available

real	63m10.724s
user	813m53.578s
sys	0m22.672s
ID       Population  PopulationVariation  Compactness
2986     696133       4203                0.765   
2298     698199       6269                0.680473372781065
1770     685551       6379                0.6142857142857143
760      698564       6634                0.8767123287671232
2626     689824       2106                0.6891891891891893
2181     693192       1262                0.6329787234042553
347      683003       8927                0.6409090909090909
339      687016       4914                0.7237569060773481
2030     695540       3610                0.6285714285714286
2508     697419       5489                0.7511961722488039
931      683338       8592                0.7865168539325843
1149     690309       1621                0.8237704918032787
226      687929       4001                0.6301369863013699
225      701010       9080                0.702247191011236
ID       Population  PopulationVariation  Compactness
102      694877       2947                0.6914893617021276
2409     695317       3387                0.644808743169399
509      694498       2568                0.6883116883116883
2931     687429       4501                0.5931034482758621
657      688329       3601                0.7943548387096774
341      694607       2677                0.6878048780487804
1761     697263       5333                0.8383838383838383
1760     686440       5490                0.7261904761904762
252      699627       7697                0.8326359832635983
1055     681570       10360               0.6036585365853658
923      694187       2257                0.7591836734693878
917      690936       994                 0.7884615384615384
1904     696847       4917                0.7068965517241379
2761     685100       6830                0.6304347826086957
ID       Population  PopulationVariation  Compactness
1850     684012       7918                0.7068965517241379
2999     691294       636                 0.6842105263157895
811      689039       2891                0.7619047619047619
269      692594       664                 0.7425742574257426
1643     692426       496                 0.6130653266331658
1111     701285       9355                0.6491228070175439
301      694726       2796                0.736318407960199
822      688510       3420                0.8113207547169812
1378     700364       8434                0.8341013824884793
2603     688157       3773                0.6331658291457287
1491     693346       1416                0.6014492753623188
1660     689212       2718                0.856353591160221
2339     685724       6206                0.7428571428571429
1853     696338       4408                0.603448275862069
ID       Population  PopulationVariation  Compactness
2700     693896       1966                0.7021276595744681
1426     693841       1911                0.6148648648648649
1440     682288       9642                0.6137931034482759
1950     698202       6272                0.7348066298342542
1962     691054       876                 0.7752808988764045
1144     698452       6522                0.784452296819788
2727     691731       199                 0.6608187134502924
1886     694359       2429                0.7076023391812866
905      696061       4131                0.7564575645756457
906      686435       5495                0.85    
564      682569       9361                0.6864864864864865
72       694982       3052                0.7314814814814814
180      681795       10135               0.5741626794258373
707      701362       9432                0.542713567839196
ID       Population  PopulationVariation  Compactness
333      690812       1118                0.7244897959183674
984      681822       10108               0.6694560669456067
285      701385       9455                0.5431472081218274
1700     697750       5820                0.7048458149779735
1759     693888       1958                0.7383720930232558
229      700333       8403                0.8181818181818181
2804     683876       8054                0.5680000000000001
2581     693305       1375                0.7289719626168225
2777     693538       1608                0.5878787878787879
2057     699308       7378                0.6473214285714286
840      684786       7144                0.8081632653061225
1371     695270       3340                0.7627906976744185
1956     688395       3535                0.6595744680851063
2401     682559       9371                0.7012987012987013
ID       Population  PopulationVariation  Compactness
2861     683419       8511                0.6666666666666667
2883     702223       10293               0.5345911949685535
2452     700805       8875                0.6956521739130435
2748     683964       7966                0.7772727272727273
2535     694824       2894                0.6050955414012739
121      687106       4824                0.6577540106951871
2191     685610       6320                0.6701030927835052
1512     701105       9175                0.7941176470588236
1514     683450       8480                0.7640449438202247
1013     690746       1184                0.764   
861      696701       4771                0.9037037037037037
903      689590       2340                0.8706896551724138
357      700587       8657                0.6227544910179641
356      686897       5033                0.6848484848484848
ID       Population  PopulationVariation  Compactness
942      689488       2442                0.7660550458715596
3017     682249       9681                0.6666666666666667
1530     699929       7999                0.6951219512195121
580      695175       3245                0.8636363636363636
1495     698440       6510                0.625   
2260     700749       8819                0.6666666666666667
2356     684334       7596                0.7942857142857143
929      683879       8051                0.8632478632478633
286      690531       1399                0.7923076923076923
285      686964       4966                0.6237113402061856
1828     698342       6412                0.6594594594594594
2549     693626       1696                0.5705882352941176
2488     684365       7565                0.701195219123506
2632     698956       7026                0.7006369426751593
ID       Population  PopulationVariation  Compactness
122      695298       3368                0.6217391304347826
881      686268       5662                0.8674698795180723
2456     700670       8740                0.6153846153846154
2821     698800       6870                0.8285714285714285
749      684057       7873                0.8080357142857143
288      688920       3010                0.6016949152542372
357      683048       8882                0.6335403726708074
164      698995       7065                0.625   
1956     687847       4083                0.6616915422885572
2398     682555       9375                0.68944099378882
522      693783       1853                0.6129032258064516
523      701316       9386                0.6742857142857143
38       684733       7197                0.8346774193548387
37       700737       8807                0.6027397260273972
ID       Population  PopulationVariation  Compactness
1980     690193       1737                0.5793103448275863
172      688106       3824                0.6770186335403727
1836     691113       817                 0.5642458100558659
1144     701970       10040               0.8596491228070176
1074     682550       9380                0.7135135135135136
541      694929       2999                0.8141592920353982
1696     692606       676                 0.7351598173515982
1699     682475       9455                0.8494623655913979
981      698426       6496                0.7569721115537849
1802     694614       2684                0.6208530805687205
265      697909       5979                0.8104089219330854
1051     689007       2923                0.650887573964497
2567     700620       8690                0.6788990825688073
2455     682509       9421                0.6896551724137931
ID       Population  PopulationVariation  Compactness
1818     698428       6498                0.6197916666666667
2530     693992       2062                0.7014925373134329
1848     685833       6097                0.75    
1491     691520       410                 0.6911764705882353
817      700852       8922                0.8371212121212122
964      692224       294                 0.8117647058823529
256      699497       7567                0.6666666666666667
1040     697356       5426                0.6892655367231638
1973     693610       1680                0.6593406593406593
1168     692169       239                 0.8226600985221675
933      692716       786                 0.7525252525252525
1642     682377       9553                0.698019801980198
1700     684090       7840                0.7627906976744185
1639     682363       9567                0.7692307692307692
ID       Population  PopulationVariation  Compactness
933      698957       7027                0.611764705882353
2472     691603       327                 0.6514285714285715
2859     700820       8890                0.8055555555555556
1791     683151       8779                0.5481927710843373
2007     690033       1897                0.6838709677419355
101      694009       2079                0.5617283950617284
2097     687647       4283                0.7300884955752213
2095     700136       8206                0.7235023041474654
520      690842       1088                0.6443298969072164
164      688217       3713                0.6956521739130435
1137     681856       10074               0.833976833976834
1008     697035       5105                0.6398104265402844
957      684831       7099                0.8346153846153846
1163     697890       5960                0.8583690987124464
ID       Population  PopulationVariation  Compactness
533      681691       10239               0.6210526315789473
1483     685256       6674                0.6111111111111112
2499     689839       2091                0.5051546391752577
2502     681666       10264               0.6830601092896175
2246     692100       170                 0.6717171717171717
17       698439       6509                0.7370517928286853
651      692125       195                 0.7272727272727273
834      698069       6139                0.8387096774193549
1454     685159       6771                0.8608247422680413
3008     697491       5561                0.6035502958579881
1970     701355       9425                0.7028571428571428
1999     692161       231                 0.6890243902439024
1169     695774       3844                0.7586206896551724
957      695902       3972                0.8106995884773662
ID       Population  PopulationVariation  Compactness
1761     687242       4688                0.6578947368421053
1277     695551       3621                0.7860262008733625
1636     693171       1241                0.8481675392670157
2853     688718       3212                0.72    
2623     688422       3508                0.6887755102040816
297      691832       98                  0.7355769230769231
1922     688461       3469                0.7041666666666666
